lat,lon,CMFD_lat,CMFD_lon,soil_1_MAJORITY,soil_2_MAJORITY,soil_3_MAJORITY,soil_4_MAJORITY,soil_5_MAJORITY,soil_6_MAJORITY,soil_7_MAJORITY,soil_8_MAJORITY,soil_9_MAJORITY,soil_10_MAJORITY,soil_11_MAJORITY,soil_12_MAJORITY,soil_13_MAJORITY,soil_14_MAJORITY,soil_15_MAJORITY,soil_16_MAJORITY,soil_17_MAJORITY,soil_18_MAJORITY,Soil_htype,ORIG_FID,slope_MEAN,aspect_MEAN,ele_MEAN,Vegetation_type_index,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_14,soil_15,soil_16,soil_17,soil_18
31.9,91.8,31.92,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  14  14,8848,1.005917519,257.948054,4942.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0
32.0,91.8,32.02,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  14  14  14  14,9101,1.113551612,311.000234,4878.75,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0
32.1,91.8,32.12,91.76,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  13  13,9356,0.740361336,205.00964480000002,4893.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0
32.2,91.8,32.22,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  14  14  14  14  14  14  14  14,9611,1.031483017,246.92275759999998,4707.5,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
32.3,91.8,32.32,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  14  14  14  14  14  14  14,9866,0.8758183070000001,145.23911840000002,4848.277778,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
32.4,91.8,32.42,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,13,13, 7  7  7  7  7  9  7  7  12  12  12  12  12  12  16  16  16  16,10120,0.5263060629999999,190.15956119999998,4941.416667,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0
32.5,91.8,32.52,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  9  9  12  12  12  13  13  13  13  13,10371,0.8206566470000001,185.7962926,5069.166667,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,9.0,9.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0
32.6,91.8,32.62,91.76,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,13,13,13, 7  7  7  7  7  7  7  12  12  12  12  12  12  12  14  14  14  14,10618,0.584136814,329.5307753,5028.944444,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0
32.7,91.8,32.72,91.76,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,13,13,13, 7  7  7  7  7  9  7  12  12  12  12  12  12  12  12  9  9  13,10869,0.695266878,221.36601000000002,5002.083333,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0,9.0,13.0
32.8,91.8,32.82,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,12,12,12,13,13,14,14,14,14,14, 7  7  7  7  7  9  7  7  12  12  12  13  14  14  14  14  14  14,11121,1.318465445,179.5279507,5163.555556,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0
32.9,91.8,32.92,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,12,12,12,13,13,14,14,14,14,14, 7  7  7  7  7  9  7  7  12  12  12  16  16  16  16  16  16  16,11373,1.076401075,137.5309505,5359.833333,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
33.0,91.8,33.02,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,12,12,12,13,13,14,14,14,14,14, 7  7  7  7  7  9  7  7  12  12  12  13  13  16  16  16  16  16,11624,1.5256515940000002,65.38388155,5115.416667,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,16.0,16.0,16.0,16.0,16.0
